4:5:z;14:1:t;5:13:b;2:1:x;2:1:m;13:10:y
0:7:a;11:1:a;2:13:h;5:6:u;6:5:r;12:11:c
7:4:g;12:5:e;5:14:h;9:6:l;3:5:g;11:12:i
1:0:g;12:5:w;9:10:x;5:7:n;9:9:r;10:13:q
9:1:t;14:0:y;1:13:n;2:3:y;0:7:o;11:10:p
9:6:a;10:8:t;6:10:j;6:8:t;9:8:o;12:11:m
2:3:f;14:2:d;1:11:n;8:5:y;6:8:m;11:12:d
3:0:q;12:1:o;2:14:v;6:5:x;6:6:g;11:13:w
7:2:r;13:0:d;1:13:q;0:5:h;4:9:y;12:11:u
4:1:q;11:3:l;9:12:k;3:2:a;8:6:r;12:10:q
0:4:d;14:4:n;4:14:j;4:8:r;5:0:u;13:11:q
6:1:l;14:5:g;7:13:v;1:3:w;6:0:e;11:10:x
4:6:g;13:7:n;4:14:r;5:1:w;8:4:k;14:10:u
3:3:h;10:9:g;1:11:s;8:6:p;8:5:m;13:14:o
7:2:j;11:9:b;1:14:g;5:8:u;9:5:h;11:11:b
3:7:i;14:1:u;1:11:u;8:8:t;2:1:g;11:14:p
3:1:a;10:7:c;4:11:z;8:1:e;4:8:n;14:14:s
9:2:f;12:7:o;3:14:n;2:1:v;6:1:y;12:10:z
1:0:m;10:9:k;7:10:m;4:8:m;6:0:c;11:11:x
7:8:l;11:4:z;9:13:b;8:4:t;0:4:c;10:10:k
0:6:c;13:7:w;5:10:t;3:8:b;6:2:y;14:12:e
0:0:i;14:2:s;3:11:s;7:7:p;9:6:h;11:12:t
9:6:l;14:3:l;6:11:k;1:5:b;2:9:m;12:11:n
2:6:g;12:4:w;9:11:j;2:8:t;3:6:l;13:13:v
6:3:j;13:2:b;4:10:p;3:2:r;9:2:a;13:14:m
0:6:c;10:7:d;7:13:b;7:2:w;5:8:e;14:11:w
8:8:i;12:9:a;0:14:y;7:6:a;4:2:i;13:12:m
5:6:f;10:4:r;9:10:y;4:8:d;8:2:i;11:13:r
4:9:h;14:1:i;9:14:g;7:0:u;8:3:m;12:13:j
2:2:t;12:7:m;0:13:m;5:6:r;2:8:m;12:10:g
8:9:j;12:4:i;8:10:t;8:0:c;6:8:b;12:12:c
6:0:d;11:6:m;4:14:v;2:7:y;5:4:g;12:10:l
4:6:m;14:6:f;5:11:g;3:8:k;2:5:o;10:14:d
1:8:y;14:9:j;6:10:m;5:8:p;4:7:f;13:12:t
4:4:w;12:9:o;8:13:s;8:4:j;3:0:k;14:14:a
7:3:h;12:9:c;6:14:c;5:8:n;9:4:p;10:14:k
1:5:e;14:3:h;8:10:s;8:4:z;8:6:s;14:10:j
1:2:l;12:4:v;4:10:b;8:4:c;8:1:c;10:11:l
